0x09389B,0x415778,0x491B28,Adrastos,"16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x7C94B5,0x7186AB,0x2E2829,Adrastos,"16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x2B405D,0xBCC0C2,0x2B4554,Adrastos,"16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x0D1317,0x2B2662,0x3B4A62,Agony, 
0x424853,0x676E76,0x9C3D77,Agony, 
0x090906,0x0F094F,0x6CB101,Al-Azab, 
0x694E1B,0x423016,0x4F4745,Alchemist,"^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b"
0x664816,0x2B261F,0x503B23,Alchemist,"^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b"
0xCC7C2C,0x241E0E,0x231D19,Alchemist,"^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b"
0x162A41,0x558ACA,0x3E6299,Ancients' Engines,"1b, ^3.2b, *5b, 10b, 15b, 20b, 25b, 30b, 40b, 50b, 60b, 80b, 100b"
0x123663,0x145ABD,0x0B1155,Apoc Demon,"12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m"
0x0929CD,0x7AB5FD,0x0E205E,Apoc Demon,"12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m"
0x154CD4,0x19B1FB,0x06337B,Apoc Demon,"12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m"
0x0E15A9,0x0C0F0E,0x030C0D,Arachna, 
0x0A1C3C,0x404E57,0x5F7B9B,Ascendant's Echo,"^*3b, 5b, 7.5b, 10b, 15b, 18b"
0x503926,0x18282C,0x41301D,Bad Blood,"500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b"
0x1B283F,0x241D1B,0x1A1213,Bad Blood,"500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b"
0x6F481F,0x3F2816,0xA56E3E,Bad Blood,"500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b"
0x738DA8,0x231B30,0x5D6477,Bakku,"400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b"
0x4E4942,0x2C1C24,0x535967,Bakku,"400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b"
0x040F1C,0x2F2933,0x8C757B,Bakku,"400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b"
0x1C1F24,0x30479A,0x2D3958,Balor,"^6b, 8b, *10b, 35b, 50b, 100b, 150b, 200b (note: missing many tiers)"
0x394132,0x1C2227,0x161613,Banhammer Bros, 
0x415E7A,0x415057,0x2F484A,Bash Brothers,"^*1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 7.5b, 10b, 15b, 20b"
0x818C8B,0x869AA3,0x202126,Bash Brothers,"^*1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 7.5b, 10b, 15b, 20b"
0x343736,0x35342F,0x354E67,Bash Brothers,"^*1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 7.5b, 10b, 15b, 20b"
0x42443C,0x4E565E,0x678496,Batiatus' Gladiators, 
0xC9B6A2,0x12180F,0x272133,Black Hand Lieutenant,"^50b, *55b, 75b, *100b, 150b, 225b, 300b, 400b, 500b, 800b, 900b"
0x6495D2,0x77C3FF,0x2C3432,Black Hand Pillagers,"5b, ^6b, 10b, *15b, 20b, 25b, 50b, 100b, 200b, 300b"
0x54321B,0x363333,0x0F0D0A,Black Moon Pack, 
0xBEAE81,0x352C3E,0xA58056,Blood Dancer,"^*1b, 1.5b, 2b, 2.5b, 3b, 3.5b, 4b, 5b, 8b"
0x30331A,0x222113,0x544A36,Blood Dancer,"^*1b, 1.5b, 2b, 2.5b, 3b, 3.5b, 4b, 5b, 8b"
0x3B5029,0xA88E8D,0x5F4C38,Blood Dancer,"^*1b, 1.5b, 2b, 2.5b, 3b, 3.5b, 4b, 5b, 8b"
0xA06444,0xD8A67F,0x33555E,Bloodsuckers,"^1.75b, 2b, *2.5b, 5b, 7.5b, 10b"
0x5E5952,0x348972,0x2A6C50,Bog Bodies,"16.5m, 25.5m, 35m, 45m, 55.5m, 66.5m, ^75m, *78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x336C60,0x456A64,0x172E36,Bog Bodies,"16.5m, 25.5m, 35m, 45m, 55.5m, 66.5m, ^75m, *78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x69645C,0xDFDAB8,0x164244,Bog Bodies,"16.5m, 25.5m, 35m, 45m, 55.5m, 66.5m, ^75m, *78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b"
0x32292A,0x30393A,0x12141D,Burbata,"^10m, *100m, 200m, 300m, 400m, 500m, 600m, 700m, 800m, 900m, 1b"
0xCEC7AF,0xBAB7AA,0x242824,Cannibal,"^240m, *250m, 300m, 375m, 480m, 580m, 660m, 900m, 1.5b, 2b, 2.8b, 3.5b"
0x404D6A,0x39393A,0x264739,Cannibal,"^240m, *250m, 300m, 375m, 480m, 580m, 660m, 900m, 1.5b, 2b, 2.8b, 3.5b"
0xC4AF86,0x687771,0x1D222A,Cannibal,"^240m, *250m, 300m, 375m, 480m, 580m, 660m, 900m, 1.5b, 2b, 2.8b, 3.5b"
0x2A2523,0x2C2114,0x2D1B19,Caracalla,"^200m, *400m, 500m, 600m, 700m, 800m, 900m, 1b, 1.25b, 1.5b, 1.75b, 2b, 2.25b, 2.5b, 2.75b, 3b"
0x786754,0x2C2114,0x7D5F3A,Caracalla,"^200m, *400m, 500m, 600m, 700m, 800m, 900m, 1b, 1.25b, 1.5b, 1.75b, 2b, 2.25b, 2.5b, 2.75b, 3b"
0x3C5971,0x090F13,0x111616,Celeano, 
0xC9C0B3,0xC3B8AB,0x596874,Clockwork Dragon,"^280m, *300m, 400m, 750m, 1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 6b, 8b, 10b"
0xAD9B85,0x5B89A2,0x3D4347,Clockwork Dragon,"^280m, *300m, 400m, 750m, 1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 6b, 8b, 10b"
0xB3A18B,0x38505D,0x668BA2,Clockwork Dragon,"^280m, *300m, 400m, 750m, 1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 6b, 8b, 10b"
0x39221A,0xF9D7B0,0x6B685B,Colossus,"200m, ^240m, 300m, 400m, 500m, 600m, 700m, 800m, 900m 1b, *1.4b, 2b"
0x72624C,0x625B49,0x4E8095,Colossus,"200m, ^240m, 300m, 400m, 500m, 600m, 700m, 800m, 900m 1b, *1.4b, 2b"
0x202F7C,0x054304,0x272A30,Damned Shade,"^*2.5b, 5b, 7.5b, 10b, 15b"
0x405746,0xC4E2DD,0x23223B,Dar'Hed'Nal,"16.5m, ^20m, *25.5m, 35m, 45m, 55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m"
0x6C7C6C,0x9EDEE8,0x151213,Dar'Hed'Nal,"16.5m, ^20m, *25.5m, 35m, 45m, 55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m"
0x4A5F4D,0x99BEBD,0x1F334A,Dar'Hed'Nal,"16.5m, ^20m, *25.5m, 35m, 45m, 55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m"
0xFCC18B,0x8B4F2E,0x563D38,Darkness,"^160m, 200m, 300m, 500m, 750m, 1b, 1.5b, 2b, 2.5b, *3b, 4b, 5b"
0x86441F,0xA4683B,0x151415,Darkness,"^160m, 200m, 300m, 500m, 750m, 1b, 1.5b, 2b, 2.5b, *3b, 4b, 5b"
0xFEFDEF,0xA66022,0x312221,Darkness,"^160m, 200m, 300m, 500m, 750m, 1b, 1.5b, 2b, 2.5b, *3b, 4b, 5b"
0x2E2A68,0x231B77,0x181D63,Deadly Bastion of Blood,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0x4D2689,0x662492,0x74525A,Deadly Bastion of Blood,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0x2D1F46,0x432345,0x564F5C,Deadly Bastion of Blood,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0xC9B6A2,0x12180F,0x272133,Deadly Black Hand Lieutenant,"500b, 750b, 1t, ^1.5t, 2t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t, 100t"
0x615257,0x063ED4,0x3E5255,Deadly Clockwork Giant,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0x131935,0xFDD371,0x2B3C56,Deadly Clockwork Giant,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0xF6BC7E,0xE9B171,0x597786,Deadly Clockwork Giant,"^500b, 750b, 1t, 1.5t, 2t, 2.5t, 3t, 4t, *5t, 7.5t, 10t, 15t, 20t, 30t, 40t, 50t"
0x828486,0x21242A,0x41667A,Deathglare, 
0x877259,0x89785E,0x0E161B,Dirthax, 
0x8A7458,0x89785E,0x0E161B,Dirthax, 
0x0D1026,0x8D6B99,0xAB9F44,Djinn's Destruction,"^*750m, 1b, 1.5b, 2b, 2.5b, 3b, 4b, 5b, 7.5b, 10b, 15b, 20b, 25b"
0x4A4A4B,0x1E1E1E,0x1B2223,Doppelganger,"^480m, 500m, 750m, *1b, 1.25b, 1.5b, 2b, 2.5b"
0x3E3E3E,0xCAB470,0x282831,Doppelganger,"^480m, 500m, 750m, *1b, 1.25b, 1.5b, 2b, 2.5b"
0xFEF0DC,0x271B1D,0x1C1A17,Draconic Dreams,"^1.25b, 1.5b, 2b, 2.5b, *3b, 4b, 5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 17.5b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b"
0x63381C,0x7A6045,0x362D2E,Draconic Dreams,"^1.25b, 1.5b, 2b, 2.5b, *3b, 4b, 5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 17.5b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b"
0xE7BFAA,0xA03344,0x738420,Draconic Dreams,"^1.25b, 1.5b, 2b, 2.5b, *3b, 4b, 5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 17.5b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b"
0x2D2D2D,0x292828,0x181A2A,Drakontos,"^*5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b, 150b, 200b"
0x3E3E3E,0xD6B78F,0xF4D0A9,Drakontos,"^*5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b, 150b, 200b"
0xFFEDD7,0x2B2B2B,0xDBD6CE,Drakontos,"^*5b, 6b, 7b, 8b, 9b, 10b, 12.5b, 15b, 20b, 25b, 30b, 40b, 50b, 60b, 70b, 80b, 90b, 100b, 150b, 200b"
0xABC1A7,0xC4CBBE,0x578D71,Dreadbloom, 
0x817D72,0xA3B1A3,0x3F8160,Dreadbloom, 
0x5E5F89,0xA9B8A2,0x295431,Dreadbloom, 
0x574B58,0x4B3E43,0x1E2A23,Drulcharus,"^125m, *300m, 400m, 750m, 1b, 1.5b, 2.5b, 5b, 8b"
0x3869AD,0xCA934E,0x324452,Drulcharus,"^125m, *300m, 400m, 750m, 1b, 1.5b, 2.5b, 5b, 8b"
0xE6B26C,0xCB944F,0x5F7D92,Drulcharus,"^125m, *300m, 400m, 750m, 1b, 1.5b, 2.5b, 5b, 8b"
0x3E4C55,0xCA9351,0x1E2A23,Drulcharus,"^125m, *300m, 400m, 750m, 1b, 1.5b, 2.5b, 5b, 8b"
0xE1D7E4,0x9C8281,0x999D9F,Elite 5th Terror,"30b, 40b, 50b, 60b, 70b, 80b, 90b, *100b, 125b, 150b, 200b, 250b, 300b, 400b, 500b"
0x9B93A8,0xE7B77F,0x2F200F,Elite 5th Terror,"30b, 40b, 50b, 60b, 70b, 80b, 90b, *100b, 125b, 150b, 200b, 250b, 300b, 400b, 500b"
0x3E496C,0x334D5C,0xE4DAC6,Elite 5th Terror,"30b, 40b, 50b, 60b, 70b, 80b, 90b, *100b, 125b, 150b, 200b, 250b, 300b, 400b, 500b"
0x1C1F24,0x30479A,0x2D3958,Elite Balor,"50b, 75b, 80b, 100b, *125b, 150b, 200b, 250b, 300b, 400b, 500b"
0x948978,0x271D33,0x33555E,Elite Bloodsuckers,"10b, 20b, 30b, 40b, 50b, 60b, 70b, *80b, 90b, 100b, 120b"
0x330A10,0xA6492B,0x271715,Elite Caster,"10b, 15b, 20b, 25b, 30b, 35b, 40b, 45b, 50b, 55b, *60b, 70b, 80b, 90b, 100b"
0x8B5651,0x443F4F,0x765D40,Elite Cecile,"20b, 25b, 30b, 35b, 40b, 45b, 50b, 55b, 60b, 65b, 70b, 75b, 80b, 90b, 100b, *120b, 150b, 200b, 240b, 300b"
